@relation 'intel-weka.filters.unsupervised.attribute.Remove-R2,9-20'

@attribute id numeric
@attribute who {a,b,c,d,e,f,g}
@attribute what {a,b,c,d,e,f,g,h,i,k,l,n,o,p,q,s,t,u,v,w,x,y,z,zb}
@attribute persistence {once,continuous}
@attribute reason {a,b,c,d,e,f}
@attribute where {a,b,c,d}
@attribute allow {yes,no}

@data
27,b,b,continuous,a,c,no
27,a,a,once,f,c,no
27,b,p,once,b,d,no
27,f,f,continuous,e,c,no
27,a,o,continuous,a,c,no
27,g,u,continuous,f,a,no
27,e,e,once,d,b,no
27,e,s,continuous,e,c,no
27,c,c,once,b,d,no
27,c,q,continuous,c,a,no
27,f,t,once,f,d,no
27,g,g,once,f,d,no
27,d,d,continuous,c,a,no
27,d,o,once,d,b,no
66,b,zb,continuous,f,c,no
66,d,b,once,a,a,no
66,d,p,continuous,b,b,no
66,g,e,continuous,d,d,no
66,c,o,once,a,a,no
66,b,n,once,f,b,no
66,c,a,continuous,f,a,no
66,f,d,once,c,c,no
66,e,c,continuous,b,b,no
66,f,o,continuous,d,d,no
66,a,p,once,f,b,no
66,a,a,continuous,e,a,no
66,e,q,once,c,c,no
66,g,s,once,e,a,no
84,f,f,once,e,c,yes
84,g,u,once,f,a,no
84,a,o,once,a,c,no
84,c,c,continuous,b,d,yes
84,g,g,continuous,f,d,no
84,c,q,once,c,a,yes
84,b,p,continuous,b,d,no
84,a,a,continuous,f,c,no
84,b,b,once,a,c,yes
84,f,t,continuous,f,d,yes
84,e,s,once,e,c,yes
84,e,e,continuous,d,b,no
84,d,o,continuous,d,b,yes
84,d,d,once,c,a,yes
87,g,f,once,e,d,yes
87,f,e,continuous,d,c,yes
87,b,a,continuous,f,d,no
87,c,p,continuous,b,a,no
87,c,b,once,a,d,yes
87,d,q,once,c,b,no
87,e,o,continuous,d,c,yes
87,e,d,once,c,b,no
87,b,o,once,a,d,yes
87,f,s,once,e,d,no
87,a,n,once,f,a,no
87,d,c,continuous,b,a,no
87,a,zb,continuous,f,b,no
87,g,t,continuous,f,a,no
99,e,t,continuous,e,d,no
99,a,b,once,f,d,no
99,b,q,once,b,a,yes
99,g,h,once,f,a,no
99,f,u,once,f,a,no
99,f,g,continuous,e,d,no
99,c,o,continuous,c,b,no
99,d,e,continuous,c,b,yes
99,d,s,once,d,c,yes
99,b,c,continuous,a,d,no
99,c,d,once,b,a,no
99,e,f,once,d,c,yes
99,a,p,continuous,a,d,no
99,g,v,continuous,f,b,no
100,a,c,continuous,e,c,no
100,a,q,once,f,d,yes
100,g,w,once,e,a,no
100,g,i,continuous,d,d,yes
100,f,h,once,c,c,no
100,e,g,continuous,b,b,no
100,c,s,once,a,a,yes
100,e,u,once,c,c,yes
100,f,v,continuous,d,d,yes
100,c,e,continuous,f,a,yes
100,d,t,continuous,b,b,no
100,d,f,once,a,a,no
100,b,d,once,f,d,yes
100,b,o,continuous,f,a,no
103,a,q,once,b,d,no
103,c,s,once,d,b,no
103,b,o,continuous,c,a,no
103,c,e,continuous,c,a,no
103,d,t,continuous,e,c,no
103,a,c,continuous,a,c,no
103,b,d,once,b,d,no
