@relation 'intel-weka.filters.unsupervised.attribute.Remove-R2,9-20'

@attribute id numeric
@attribute who {a,b,c,d,e,f,g}
@attribute what {a,b,c,d,e,f,g,h,i,k,l,n,o,p,q,s,t,u,v,w,x,y,z,zb}
@attribute persistence {once,continuous}
@attribute reason {a,b,c,d,e,f}
@attribute where {a,b,c,d}
@attribute allow {yes,no}

@data
4,f,z,once,a,c,no
4,b,v,once,d,d,yes
4,a,g,once,b,b,no
4,e,y,continuous,f,c,no
4,c,w,continuous,e,a,no
4,c,i,once,d,d,no
4,g,a,once,a,c,no
4,d,d,continuous,e,a,no
4,a,u,continuous,c,c,no
4,d,x,once,f,b,no
4,f,l,continuous,f,c,no
4,e,k,once,f,b,no
4,g,p,continuous,b,d,no
4,b,h,continuous,c,c,no
7,b,u,once,b,a,no
7,d,w,once,d,c,yes
7,e,x,continuous,e,d,no
7,d,i,continuous,c,b,no
7,b,g,continuous,a,d,no
7,c,h,once,b,a,no
7,e,d,once,d,c,no
7,a,f,once,f,d,no
7,g,l,once,f,a,no
7,f,k,continuous,e,d,no
7,f,y,once,f,a,no
7,g,z,continuous,f,b,no
7,a,t,continuous,a,d,no
7,c,v,continuous,c,b,no
11,e,d,once,b,a,no
11,d,i,continuous,a,d,no
11,f,y,once,d,c,no
11,c,h,once,f,d,yes
11,a,f,once,e,b,no
11,e,x,continuous,c,b,no
11,d,w,once,b,a,no
11,b,g,continuous,f,c,yes
11,f,k,continuous,c,b,no
11,a,t,continuous,f,c,no
11,b,u,once,f,d,yes
11,g,l,once,d,c,no
11,c,v,continuous,a,d,yes
11,g,z,continuous,e,d,no
12,c,x,continuous,c,d,yes
12,a,h,once,f,b,yes
12,g,zb,continuous,f,d,yes
12,e,z,continuous,e,b,yes
12,d,y,once,d,a,yes
12,b,i,continuous,a,b,yes
12,a,v,continuous,a,b,yes
12,f,p,once,f,c,yes
12,f,a,continuous,e,b,yes
12,c,d,once,b,c,yes
12,b,w,once,b,c,yes
12,d,k,continuous,c,d,yes
12,e,l,once,d,a,no
12,g,n,once,f,c,yes
14,c,y,once,b,b,yes
14,e,a,continuous,c,c,no
14,b,x,continuous,a,a,no
14,g,a,continuous,e,c,no
14,f,n,once,d,d,no
14,e,p,once,d,d,no
14,f,zb,continuous,e,a,no
14,c,k,continuous,a,a,no
14,b,d,once,f,a,no
14,a,i,continuous,f,d,no
14,g,o,once,f,d,no
14,a,w,once,f,a,no
14,d,l,once,b,b,no
14,d,z,continuous,c,c,no
20,c,u,continuous,a,c,no
20,a,s,continuous,f,b,yes
20,c,g,once,f,c,yes
20,e,i,once,b,d,yes
20,f,x,once,d,b,yes
20,g,k,once,d,b,no
20,d,h,continuous,a,c,yes
20,d,v,once,b,d,yes
20,e,w,continuous,c,a,no
20,a,e,once,e,a,no
20,f,d,continuous,c,a,yes
20,b,t,once,f,c,no
20,g,y,continuous,e,c,yes
20,b,f,continuous,f,b,yes
22,f,i,once,d,c,no
22,e,h,continuous,c,b,yes
22,e,v,once,d,c,yes
22,g,d,continuous,e,d,yes
22,a,d,continuous,f,c,yes
22,f,w,continuous,e,d,yes
22,d,g,once,b,a,no
22,b,e,once,f,d,no
22,g,x,once,f,a,yes
22,c,f,continuous,a,d,yes
22,c,t,once,b,a,yes
22,b,s,continuous,a,d,yes
22,a,o,once,f,d,yes
22,d,u,continuous,c,b,yes
32,e,w,once,e,c,no
32,a,e,continuous,f,c,no
32,a,s,once,a,c,no
32,g,k,continuous,f,d,yes
32,e,i,continuous,d,b,no
32,d,v,continuous,d,b,yes
32,c,g,continuous,b,d,yes
32,d,h,once,c,a,yes
32,g,y,once,f,a,no
32,b,t,continuous,b,d,no
32,f,x,continuous,f,d,no
32,b,f,once,a,c,no
32,c,u,once,c,a,no
32,f,d,once,e,c,yes
43,f,p,once,f,b,no
43,g,n,once,f,b,yes
43,e,l,once,e,d,yes
43,d,y,once,e,d,yes
43,d,k,continuous,d,c,no
43,a,v,continuous,b,a,no
43,b,i,continuous,b,a,no
43,c,x,continuous,d,c,no
43,b,w,once,c,b,no
43,f,a,continuous,f,a,yes
43,c,d,once,c,b,yes
43,e,z,continuous,f,a,no
43,a,h,once,a,d,no
43,g,zb,continuous,a,b,no
45,c,t,once,f,a,no
45,e,v,once,a,b,no
45,f,i,once,a,b,no
45,e,h,continuous,f,b,no
45,b,e,once,d,c,yes
45,f,w,continuous,b,c,no
45,g,d,continuous,b,c,no
45,g,x,once,c,d,no
45,d,u,continuous,f,b,no
45,d,g,once,f,a,no
45,a,o,once,d,c,no
45,c,f,continuous,e,d,no
45,a,d,continuous,c,b,no
45,b,s,continuous,e,d,no
48,b,o,continuous,d,d,no
48,d,t,continuous,f,b,no
48,c,s,once,e,a,no
48,g,i,continuous,a,c,no
48,e,u,once,f,c,no
48,c,e,continuous,d,d,no
48,a,c,continuous,b,b,no
48,e,g,continuous,f,b,no
48,f,h,once,f,c,no
48,g,w,once,b,d,no
48,b,d,once,c,c,no
48,f,v,continuous,a,c,no
48,a,q,once,c,c,no
48,d,f,once,e,a,no
49,e,v,continuous,b,a,no
49,f,w,once,c,b,yes
49,c,f,once,f,c,yes
49,e,h,once,a,d,yes
49,a,d,once,d,a,no
49,g,d,once,c,b,yes
49,d,g,continuous,f,d,no
49,c,t,continuous,f,d,no
49,b,s,once,f,c,no
49,a,o,continuous,e,b,no
49,f,i,continuous,b,a,no
49,d,u,once,a,d,no
49,b,e,continuous,e,b,no
49,g,x,continuous,d,c,yes
50,d,w,once,c,d,no
50,f,y,once,e,b,no
50,a,t,continuous,f,b,no
50,g,z,continuous,f,c,yes
50,f,k,continuous,d,a,no
50,g,l,once,e,b,yes
50,d,i,continuous,b,c,no
50,e,x,continuous,d,a,yes
50,b,u,once,a,b,yes
50,b,g,continuous,f,b,no
50,e,d,once,c,d,no
50,c,v,continuous,b,c,no
50,a,f,once,f,a,no
50,c,h,once,a,b,no
51,c,o,once,e,a,yes
51,g,e,continuous,a,c,no
51,d,p,continuous,f,b,no
51,b,n,once,c,a,no
51,f,d,once,f,c,no
51,a,p,once,c,a,no
51,c,a,continuous,d,d,no
51,g,s,once,b,d,no
51,b,zb,continuous,d,b,no
51,f,o,continuous,a,c,no
51,e,q,once,f,c,no
51,a,a,continuous,b,d,no
51,e,c,continuous,f,b,no
51,d,b,once,e,a,no
82,c,q,continuous,b,b,no
82,d,d,continuous,b,b,no
82,e,e,once,c,c,no
82,g,u,continuous,f,b,no
82,f,f,continuous,d,d,no
82,b,b,continuous,f,a,no
82,c,c,once,a,a,no
82,f,t,once,e,a,no
82,a,o,continuous,f,a,no
82,e,s,continuous,d,d,no
82,d,o,once,c,c,no
82,a,a,once,f,d,no
82,b,p,once,a,a,no
82,g,g,once,e,a,no
117,a,t,continuous,b,c,no
117,c,h,once,c,d,yes
117,b,g,continuous,b,c,no
117,c,v,continuous,d,a,no
117,e,x,continuous,f,c,yes
117,f,k,continuous,f,c,no
117,d,i,continuous,d,a,no
117,g,l,once,f,d,yes
117,d,w,once,e,b,yes
117,e,d,once,e,b,no
117,b,u,once,c,d,yes
117,f,y,once,f,d,yes
117,g,z,continuous,a,d,yes
117,a,f,once,a,b,no
124,f,u,once,d,c,no
124,a,p,continuous,f,c,no
124,g,h,once,d,c,no
124,b,c,continuous,f,c,no
124,c,o,continuous,a,d,no
124,e,f,once,b,a,no
124,b,q,once,f,d,no
124,a,b,once,e,b,no
124,g,v,continuous,e,d,no
124,f,g,continuous,c,b,no
124,c,d,once,f,d,no
124,e,t,continuous,c,b,no
124,d,e,continuous,a,d,no
124,d,s,once,b,a,no
127,a,y,once,f,d,no
127,a,k,continuous,e,c,no
127,f,p,continuous,d,b,no
127,b,z,continuous,f,a,no
127,d,zb,continuous,b,b,yes
127,f,b,once,c,a,no
127,e,a,continuous,b,d,no
127,d,n,once,a,a,yes
127,e,o,once,c,a,no
127,b,l,once,f,d,no
127,g,q,once,e,c,no
127,g,c,continuous,d,b,no
127,c,a,continuous,f,a,no
127,c,p,once,a,a,no
128,d,n,once,f,c,yes
128,g,c,continuous,c,c,no
128,b,l,once,e,a,no
128,g,q,once,d,d,yes
128,c,p,once,f,c,yes
128,f,b,once,b,b,no
128,c,a,continuous,f,b,no
128,d,zb,continuous,a,c,yes
128,f,p,continuous,c,c,yes
128,e,a,continuous,a,a,no
128,a,y,once,e,a,no
128,b,z,continuous,f,b,no
128,e,o,once,b,b,yes
128,a,k,continuous,d,d,no
132,e,v,once,b,a,no
132,g,x,once,d,c,no
132,c,t,once,f,d,no
132,f,i,once,b,a,no
132,d,g,once,f,d,no
132,f,w,continuous,c,b,no
132,c,f,continuous,f,c,no
132,g,d,continuous,c,b,no
132,e,h,continuous,a,d,no
132,b,s,continuous,f,c,no
132,d,u,continuous,a,d,no
132,a,d,continuous,d,a,no
132,b,e,once,e,b,no
132,a,o,once,e,b,no
137,b,e,once,b,a,no
137,f,i,once,f,a,no
137,f,w,continuous,f,b,no
137,e,v,once,f,a,no
137,g,d,continuous,f,b,no
137,b,s,continuous,c,b,no
137,c,t,once,d,c,no
137,d,g,once,d,c,no
137,a,o,once,b,a,no
137,d,u,continuous,e,d,no
137,a,d,continuous,a,d,no
137,e,h,continuous,e,d,no
137,c,f,continuous,c,b,no
137,g,x,once,a,b,no
149,b,a,continuous,b,a,no
149,c,b,once,c,b,no
149,c,p,continuous,d,c,no
149,e,o,continuous,f,a,no
149,a,n,once,a,b,no
149,d,q,once,e,d,yes
149,d,c,continuous,d,c,yes
149,f,e,continuous,f,a,yes
149,g,t,continuous,a,b,no
149,g,f,once,f,b,no
149,a,zb,continuous,b,c,no
149,f,s,once,f,b,no
149,b,o,once,c,b,no
149,e,d,once,e,d,no
150,a,d,continuous,f,a,no
150,d,p,continuous,c,d,no
150,e,n,continuous,c,d,no
150,b,k,once,f,b,no
150,e,zb,once,d,a,no
150,c,z,once,b,c,no
150,d,a,once,b,c,no
150,g,p,once,f,a,no
150,a,x,once,f,b,no
150,c,l,continuous,a,b,no
150,b,y,continuous,a,b,no
150,f,a,once,d,c,no
150,g,b,continuous,e,d,no
150,f,o,continuous,e,d,no
152,g,g,continuous,c,c,no
152,g,u,once,d,d,yes
152,d,o,continuous,a,a,yes
152,f,t,continuous,c,c,no
152,e,s,once,b,b,yes
152,c,c,continuous,f,d,no
152,f,f,once,b,b,yes
152,b,b,once,e,c,yes
152,d,d,once,f,a,yes
152,a,a,continuous,d,b,no
152,c,q,once,f,a,no
152,a,o,once,e,c,no
152,e,e,continuous,a,a,no
152,b,p,continuous,f,d,no
