@relation intel-weka.filters.unsupervised.attribute.Remove-R2-16_denormalized-weka.filters.unsupervised.instance.Denormalize-Gfirst-AAverage-S-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute Average_comfort numeric
@attribute Average_risk numeric
@attribute Average_approp numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
78,2.571429,3.142857,2.571429,cluster2
79,2.214286,2.428571,2.428571,cluster2
80,4.071429,4,4.357143,cluster0
81,3.285714,3.5,3.571429,cluster0
82,1,1.785714,1.714286,cluster1
83,1.571429,2.428571,2.357143,cluster1
84,2.428571,2.428571,2.714286,cluster2
85,1,1,1,cluster1
86,1.5,1.857143,1.428571,cluster1
87,2.5,4.142857,2.857143,cluster2
88,3.285714,3.357143,3.285714,cluster0
89,2.928571,3.428571,3.571429,cluster0
90,2.142857,2.571429,2.142857,cluster2
91,3.142857,3.285714,3.642857,cluster0
92,2.214286,2.714286,2.214286,cluster2
93,2.928571,3.214286,3.214286,cluster2
94,1.5,1.5,1.5,cluster1
95,2.214286,2.428571,2.571429,cluster2
96,2.142857,2.428571,2.285714,cluster2
97,4.071429,5.285714,3.5,cluster0
98,2.5,3.357143,2.857143,cluster2
99,3.214286,4.071429,4,cluster0
100,3.285714,3.5,3.5,cluster0
101,2.357143,3.714286,2.714286,cluster2
102,1.928571,2.642857,2.642857,cluster2
103,1.857143,2.285714,2.857143,cluster2
104,1.785714,4.285714,1.642857,cluster2
105,2,2.285714,2.285714,cluster1
106,1.285714,1.571429,1.571429,cluster1
107,3.428571,3.5,3.642857,cluster0
108,3.571429,3.642857,3.428571,cluster0
109,2.857143,2.642857,2.642857,cluster2
110,1.357143,1.857143,1.428571,cluster1
111,3.071429,2.642857,3.071429,cluster2
112,2.642857,2.785714,2.642857,cluster2
113,3.285714,3.714286,3.428571,cluster0
114,3.285714,2.928571,2.928571,cluster2
115,2.142857,2.5,2.5,cluster2
116,2.857143,3.142857,2.857143,cluster2
117,2.928571,3.5,3.214286,cluster2
118,2.357143,3.214286,3.357143,cluster2
119,3,4,3.142857,cluster0
120,4.071429,4.357143,3.857143,cluster0
121,2.785714,4.214286,3.857143,cluster0
122,2.5,2.857143,2.5,cluster2
123,2.5,2.642857,2.571429,cluster2
124,2.714286,3.785714,3.714286,cluster0
125,2.785714,3.428571,3.214286,cluster2
126,1.285714,1.857143,1.142857,cluster1
127,2.428571,2.928571,2.642857,cluster2
128,2.142857,3.571429,2.5,cluster2
129,2.642857,3.642857,2.785714,cluster2
130,1.5,1.285714,1.214286,cluster1
131,3.571429,3.285714,3.785714,cluster0
132,1.5,2.214286,1.928571,cluster1
133,4.285714,3.571429,3.857143,cluster0
134,2.214286,2.785714,3.142857,cluster2
135,1.071429,1.428571,1.571429,cluster1
136,1.928571,2.142857,2,cluster1
137,4,3.928571,3.928571,cluster0
138,1.357143,1.928571,1.285714,cluster1
139,2.5,2.642857,2.571429,cluster2
140,1.857143,2.571429,1.857143,cluster1
141,2.571429,2.071429,2.285714,cluster2
142,1,1,1,cluster1
143,4.142857,4.428571,4,cluster0
144,1.928571,1.928571,1.857143,cluster1
145,1.357143,1.714286,1.785714,cluster1
146,2.857143,3.285714,3.214286,cluster2
147,2.428571,2.357143,3.071429,cluster2
148,3.071429,3.285714,3.428571,cluster2
149,3.071429,2.714286,3.285714,cluster2
150,2.714286,2.785714,2.857143,cluster2
151,1.714286,2,2.071429,cluster1
152,1.428571,1.571429,1.357143,cluster1
153,1.571429,3,2,cluster1
154,3.285714,4.428571,3.857143,cluster0
155,3.928571,4.642857,3.785714,cluster0
156,2.857143,1.642857,1.785714,cluster1
157,5.142857,5.214286,5.357143,cluster0
158,1.857143,3.428571,3.142857,cluster2
159,2.428571,4.071429,4.714286,cluster0
160,2,2.214286,2.285714,cluster1
161,4.428571,4,4.214286,cluster0
162,2.071429,2.142857,1.785714,cluster1
163,1.857143,2.357143,1.714286,cluster1
164,2,1.928571,2.214286,cluster1
165,2.142857,2.857143,2.5,cluster2
166,3.214286,3.428571,3.214286,cluster0
167,2.642857,4.142857,2.5,cluster2
168,1.285714,2.214286,1.785714,cluster1
169,3.714286,4.214286,4.214286,cluster0
170,1.285714,1.285714,1.285714,cluster1
171,2.285714,2.785714,2.571429,cluster2
172,2.428571,3.071429,2.857143,cluster2
173,2.142857,2.357143,2.357143,cluster2
174,3.571429,3.5,3.285714,cluster0
175,4.071429,4.5,3.785714,cluster0
176,3.071429,3.642857,3.214286,cluster0
177,2.571429,3.142857,2.785714,cluster2
178,1.714286,2.928571,2.714286,cluster2
179,2.071429,2.642857,1.785714,cluster1
180,3.642857,4,3.642857,cluster0
181,4.428571,4.857143,4.642857,cluster0
182,1.928571,1.785714,1.785714,cluster1
183,2.214286,2.357143,2.357143,cluster2
184,1.928571,2.285714,2.357143,cluster1
185,2.928571,3.142857,3.428571,cluster2
186,1.642857,1.785714,1.928571,cluster1
187,3,2.857143,2.928571,cluster2
188,1,2.142857,1,cluster1
189,1.571429,1.928571,1.642857,cluster1
190,5.785714,6.428571,5.928571,cluster0
191,2.285714,3.357143,3.214286,cluster2
192,1.785714,3.071429,2.785714,cluster2
193,2.357143,3.071429,2.571429,cluster2
194,2,4.428571,2.285714,cluster2
195,3.642857,4,3.857143,cluster0
196,1,1,1,cluster1
197,2.214286,2.214286,2.214286,cluster1
198,3,3.642857,3,cluster2
199,1.714286,1.928571,1.785714,cluster1
