@relation intel

@attribute id numeric
@attribute scenario numeric
@attribute who {a,b,c,d,e,f,g}
@attribute what {a,b,c,d,e,f,g,h,i,k,l,n,o,p,q,s,t,u,v,w,x,y,z,zb}
@attribute persistence {once,continuous}
@attribute reason {a,b,c,d,e,f}
@attribute where {a,b,c,d}
@attribute notify {yes,no}
@attribute nalways {once,always,blank}
@attribute notify_combined {notify_me_always,notify_me_once,do_not_notify_me}
@attribute five.one {notify_me_always,other_two}
@attribute allow {yes,no}
@attribute aalways {always,once}
@attribute allow_combined {yesalways,yesonce,noalways,noonce}
@attribute seven.one {yesalways,others}
@attribute score_allow numeric
@attribute comfort numeric
@attribute risk numeric
@attribute approp numeric
@attribute cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
8,10150,g,i,once,b,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,2,cluster0
8,10160,a,q,continuous,d,b,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,5,5,5,cluster0
8,10170,d,t,once,f,a,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster0
8,10180,a,c,once,c,a,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster0
8,10190,e,g,once,f,a,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster0
8,10200,c,s,continuous,f,d,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster0
8,10210,d,f,continuous,f,d,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster0
8,10220,b,o,once,e,c,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster0
9,6870,g,zb,continuous,b,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster4
9,6880,a,v,continuous,c,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
9,6890,b,i,continuous,c,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,2,cluster4
9,6900,c,d,once,d,a,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,3,5,5,cluster4
9,6910,b,w,once,d,a,yes,once,notify_me_once,other_two,no,always,noalways,others,0,1,3,3,cluster4
9,6920,f,p,once,a,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,2,cluster4
9,6930,c,x,continuous,e,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,1,cluster4
9,6940,g,n,once,a,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
9,6950,f,a,continuous,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
9,6960,d,y,once,f,c,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,5,5,cluster4
9,6970,e,l,once,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,2,cluster4
9,6980,a,h,once,b,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
9,6990,d,k,continuous,e,b,yes,once,notify_me_once,other_two,yes,always,yesalways,yesalways,3,5,5,5,cluster4
9,7000,e,z,continuous,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,2,cluster4
10,22410,c,i,once,a,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,3,3,3,cluster2
10,22420,g,p,continuous,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,4,2,cluster2
10,22430,a,g,once,f,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,4,1,cluster2
10,22440,c,w,continuous,b,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,1,cluster2
10,22450,d,x,once,c,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,3,4,3,cluster2
10,22460,b,v,once,a,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,4,3,cluster2
