@relation intel-weka.filters.unsupervised.attribute.Remove-R2-16_denormalized-weka.filters.unsupervised.instance.Denormalize-Gfirst-AAverage-S-weka.filters.unsupervised.attribute.Remove-R1_clustered

@attribute Instance_number numeric
@attribute Average_comfort numeric
@attribute Average_risk numeric
@attribute Average_approp numeric
@attribute Cluster {cluster0,cluster1}

@data
144,1.928571,1.928571,1.857143,cluster1
145,1.357143,1.714286,1.785714,cluster1
146,2.857143,3.285714,3.214286,cluster0
147,2.428571,2.357143,3.071429,cluster1
148,3.071429,3.285714,3.428571,cluster0
149,3.071429,2.714286,3.285714,cluster0
150,2.714286,2.785714,2.857143,cluster0
151,1.714286,2,2.071429,cluster1
152,1.428571,1.571429,1.357143,cluster1
153,1.571429,3,2,cluster1
154,3.285714,4.428571,3.857143,cluster0
155,3.928571,4.642857,3.785714,cluster0
156,2.857143,1.642857,1.785714,cluster1
157,5.142857,5.214286,5.357143,cluster0
158,1.857143,3.428571,3.142857,cluster0
159,2.428571,4.071429,4.714286,cluster0
160,2,2.214286,2.285714,cluster1
161,4.428571,4,4.214286,cluster0
162,2.071429,2.142857,1.785714,cluster1
163,1.857143,2.357143,1.714286,cluster1
164,2,1.928571,2.214286,cluster1
165,2.142857,2.857143,2.5,cluster1
166,3.214286,3.428571,3.214286,cluster0
167,2.642857,4.142857,2.5,cluster0
168,1.285714,2.214286,1.785714,cluster1
169,3.714286,4.214286,4.214286,cluster0
170,1.285714,1.285714,1.285714,cluster1
171,2.285714,2.785714,2.571429,cluster1
172,2.428571,3.071429,2.857143,cluster0
173,2.142857,2.357143,2.357143,cluster1
174,3.571429,3.5,3.285714,cluster0
175,4.071429,4.5,3.785714,cluster0
176,3.071429,3.642857,3.214286,cluster0
177,2.571429,3.142857,2.785714,cluster0
178,1.714286,2.928571,2.714286,cluster1
179,2.071429,2.642857,1.785714,cluster1
180,3.642857,4,3.642857,cluster0
181,4.428571,4.857143,4.642857,cluster0
182,1.928571,1.785714,1.785714,cluster1
183,2.214286,2.357143,2.357143,cluster1
184,1.928571,2.285714,2.357143,cluster1
185,2.928571,3.142857,3.428571,cluster0
186,1.642857,1.785714,1.928571,cluster1
187,3,2.857143,2.928571,cluster0
188,1,2.142857,1,cluster1
189,1.571429,1.928571,1.642857,cluster1
190,5.785714,6.428571,5.928571,cluster0
191,2.285714,3.357143,3.214286,cluster0
192,1.785714,3.071429,2.785714,cluster1
193,2.357143,3.071429,2.571429,cluster1
194,2,4.428571,2.285714,cluster0
195,3.642857,4,3.857143,cluster0
196,1,1,1,cluster1
197,2.214286,2.214286,2.214286,cluster1
198,3,3.642857,3,cluster0
199,1.714286,1.928571,1.785714,cluster1
